LRRRLRRLRLRRRLRLLLLRRRLRLRRLRLRLRRLRRRLRRLRRRLRLLLRRLRRLRRLRRLRRLLLLLRLRLRRRLRLLRRLRLRRRLRRLRRRLLLRRLRRLRRLRRRLRLRLRRLLRRRLRRLRRRLRRRLRRRLRLRRLRRLRRLRRRLRLRRLRRLLRRRLRRLRRLRRRLRLRLRRLLRRRLLRRLRRRLRRRLRLRRLLRRRLRLRRLLRRLRLRRRLRLRRRLRRLRRLRRLRRRLRRRLRLLRRLRRLLRRLRRRLRRLRLRLRRRLLLRRLRLRRLRRLRLRLLRLRRLRLRLRRRR

XKM = (FRH, RLM)
MVM = (JVG, TRK)
BXN = (SJH, XFB)
KJS = (QRD, QRD)
LCQ = (DQL, TRQ)
TRP = (FBR, BLD)
HSQ = (QQN, KSN)
JHK = (RLD, VBR)
KGJ = (RNB, NFN)
NDD = (KFR, HQL)
JXD = (XTC, TKR)
FTT = (SBD, HNS)
NLV = (CDM, TRS)
BHL = (CHX, SGB)
HNV = (LCB, TFS)
MPX = (JDL, FCZ)
XVA = (VTR, PLN)
HHC = (SXC, HCH)
RNF = (TKJ, PTJ)
TJN = (JRQ, KJR)
CRR = (XHF, CTT)
GDH = (DKC, SMT)
VFP = (TKC, NVL)
DNV = (QPV, XBJ)
KCK = (TFH, BQD)
FCH = (QHV, GXS)
BHK = (JSF, KKC)
SKX = (FTL, SGQ)
SXC = (HNG, JLL)
TKD = (DMX, CMC)
TKC = (PHF, RBK)
GPM = (GGJ, XSG)
TVK = (KGM, QVK)
PFD = (HDT, XKB)
LKV = (RVP, FJM)
THQ = (RLJ, TXM)
DGG = (XJS, RTL)
KFR = (LHR, CGQ)
MXJ = (FPQ, CVB)
LHC = (VJX, BKX)
FTH = (MST, FBS)
FXC = (TSP, HTP)
QBN = (GNB, XKM)
FQH = (MFC, XXD)
QHX = (MDG, DCN)
PPJ = (XMR, QPQ)
JVV = (HGB, PSR)
FBS = (GSP, KGK)
LQP = (RDG, XRX)
QHV = (CDP, LPG)
GSP = (XPV, XKJ)
CRM = (MFT, KRK)
HNK = (SNT, HQR)
VDK = (DPK, TBJ)
RNP = (GCS, VJL)
SMN = (TQJ, RNJ)
LCB = (SXM, BHV)
RNQ = (SHT, VKP)
QSN = (JMC, JDC)
TCQ = (NRR, MKG)
DXQ = (JRQ, KJR)
CXR = (FLP, PKR)
HBS = (VCH, CKN)
NJJ = (RTD, MPN)
TTK = (DGH, MNF)
PLN = (GPF, DNB)
FCZ = (JRM, DJV)
LQM = (VGQ, NCX)
CLX = (LQP, MNG)
GGA = (NDK, FBC)
MCX = (DQB, MGR)
NTT = (XVB, MPP)
TGJ = (GMC, LLG)
LML = (SVR, VJT)
JBB = (BNX, HDJ)
LHR = (SQL, FDM)
NVL = (RBK, PHF)
FVR = (QHX, SDQ)
FHM = (FTC, BNF)
BRF = (QDC, HFT)
JPF = (DQM, DCX)
TXM = (RQR, GRX)
VPX = (PXQ, CPP)
RPZ = (GHJ, LSN)
JTV = (SXC, HCH)
SXN = (KSB, TQT)
SDP = (QNB, BJV)
HPM = (FXN, TJL)
VHF = (CLX, KXB)
QBJ = (PDC, SQH)
QQN = (KCK, GSG)
PQC = (FBR, BLD)
JDC = (BVL, PFD)
KKH = (QMS, DVL)
LGK = (NKX, SQS)
LVL = (RVV, TMV)
DXC = (TXB, GHN)
SDQ = (DCN, MDG)
NQD = (KLL, GVS)
CFX = (MVN, SDR)
RLM = (RKN, MRT)
DQH = (SMT, DKC)
GPV = (HGB, HGB)
JRQ = (TKN, TTK)
STG = (DVH, CJB)
LKT = (NPS, VHN)
XHS = (HCG, QNM)
DXA = (QQN, KSN)
QFJ = (HFN, CJC)
VLT = (XXX, PMJ)
LGS = (PPV, TVK)
PKR = (TTT, TCN)
CKD = (CFS, VDQ)
STM = (BKN, PPR)
KXB = (MNG, LQP)
FCV = (MGP, JBF)
XVP = (SDM, TQL)
DBK = (GVG, PPH)
HLM = (PBJ, CRF)
VNR = (JJQ, MQQ)
PVN = (VJR, JFV)
MBD = (GPV, JVV)
VJX = (MLK, JFT)
DHC = (SXN, RCK)
DQL = (GLC, JXV)
PPG = (FGK, RLN)
XKB = (QLN, LBV)
NRR = (MTS, HBS)
SQL = (FVX, QNF)
MGR = (NDD, DVK)
MQQ = (LGS, RHS)
DCX = (RHR, QQM)
